Title,Note,URL,Comment
Tulum,,https://www.google.com/maps/place/Tulum/data=!4m2!3m1!1s0x8640bf2624161169:0x84b5af1a8c703bd4,
Anvil,,https://www.google.com/maps/place/Anvil/data=!4m2!3m1!1s0x8640c09e83e3ec19:0x4a565e2d12da2b8a,
Lees Den,,https://www.google.com/maps/place/Lees+Den/data=!4m2!3m1!1s0x8640c1adc0d65cff:0x60bbf465ce813465,
Rabbit's Got the Gun,,https://www.google.com/maps/place/Rabbit's+Got+the+Gun/data=!4m2!3m1!1s0x8640b9dd0551ff01:0xd6aeea3ceabf7479,
The Ivy House,,https://www.google.com/maps/place/The+Ivy+House/data=!4m2!3m1!1s0x8640bf5dfd43b241:0xe89a8479936778a6,
Julep,,https://www.google.com/maps/place/Julep/data=!4m2!3m1!1s0x8640bf4bf6da1577:0xf56311183b3333c0,
Mutiny Wine Room,,https://www.google.com/maps/place/Mutiny+Wine+Room/data=!4m2!3m1!1s0x8640b8aee2695555:0xbd694f249e811c90,
Behind Closed Doors,,https://www.google.com/maps/place/Behind+Closed+Doors/data=!4m2!3m1!1s0x8640bf0fb52c6629:0xf98335456cae498e,
McIntyre's Downtown,,https://www.google.com/maps/place/McIntyre's+Downtown/data=!4m2!3m1!1s0x8640bf3a775c90f7:0xd994f9ef6c63cb4,
R24 Rooftop Lounge,,https://www.google.com/maps/place/R24+Rooftop+Lounge/data=!4m2!3m1!1s0x8640bf110f07e53b:0xc217ccd8d6834ae1,
Sixty Vines,,https://www.google.com/maps/place/Sixty+Vines/data=!4m2!3m1!1s0x8640c05d02a1f8d3:0x3c870a38b6b747a2,
Montrose Cheese & Wine,,https://www.google.com/maps/place/Montrose+Cheese+%26+Wine/data=!4m2!3m1!1s0x8640c1ae6016fbb3:0x9e85c2f1e5252a89,
Social Beer Garden HTX,,https://www.google.com/maps/place/Social+Beer+Garden+HTX/data=!4m2!3m1!1s0x8640bf1d1376bdf1:0xf9409008919f3731,
Sugar Room,,https://www.google.com/maps/place/Sugar+Room/data=!4m2!3m1!1s0x8640c1968cdc5d2f:0x9d1ad08454388185,
Wild,,https://www.google.com/maps/place/Wild/data=!4m2!3m1!1s0x8640c794174f2bb1:0x459b59294535b4b1,
Moonshine Deck,,https://www.google.com/maps/place/Moonshine+Deck/data=!4m2!3m1!1s0x8640c778d8454591:0x5b6f950dc31e8fb8,
Refuge,,https://www.google.com/maps/place/Refuge/data=!4m2!3m1!1s0x8640c1c8c54f6633:0x8cfd41a82e34b08b,
Wooster's Garden,,https://www.google.com/maps/place/Wooster's+Garden/data=!4m2!3m1!1s0x8640bf6e9250dd3b:0x788119d02efd4fca,
Little Woodrow’s Midtown,,https://www.google.com/maps/place/Little+Woodrow%E2%80%99s+Midtown/data=!4m2!3m1!1s0x8640bf41ddfa2547:0x95ad79d952aaa506,
Clarkwood,,https://www.google.com/maps/place/Clarkwood/data=!4m2!3m1!1s0x8640c1b71470124d:0x57942bd211c45a14,
The Locker Room,,https://www.google.com/maps/place/The+Locker+Room/data=!4m2!3m1!1s0x8640bf7a0d6b9d59:0x1eb2aa0d294d0951,
The Garden HTX,,https://www.google.com/maps/place/The+Garden+HTX/data=!4m2!3m1!1s0x8640bf6b37d64381:0xf09a92adaa49259f,
Memorial Trail Ice House,,https://www.google.com/maps/place/Memorial+Trail+Ice+House/data=!4m2!3m1!1s0x8640c752a48dd987:0x51ef56cff2c73321,
Candy Shack,,https://www.google.com/maps/place/Candy+Shack/data=!4m2!3m1!1s0x8640c1379bef3b07:0xb71edf105893c17f,
High & Dry,,https://www.google.com/maps/place/High+%26+Dry/data=!4m2!3m1!1s0x8640bf2f8cd87a8b:0x46317c95d9a30c20,
Bar 5015,,https://www.google.com/maps/place/Bar+5015/data=!4m2!3m1!1s0x8640bf9e78e2f4c5:0x351235b19dc81241,
Holman Draft Hall,,https://www.google.com/maps/place/Holman+Draft+Hall/data=!4m2!3m1!1s0x8640bf6e5954d32f:0x33cb3a39167a393e,
Bottled Blonde,,https://www.google.com/maps/place/Bottled+Blonde/data=!4m2!3m1!1s0x8640c1732d7e8f9f:0x1605af9739148951,
Urban Social,,https://www.google.com/maps/place/Urban+Social/data=!4m2!3m1!1s0x8640c157ea9ebe57:0xa4b95c48622256d0,
Patterson Park Patio Bar,,https://www.google.com/maps/place/Patterson+Park+Patio+Bar/data=!4m2!3m1!1s0x8640c7cd4599de7f:0x2592f7fb8c837794,
Z on23,,https://www.google.com/maps/place/Z+on23/data=!4m2!3m1!1s0x8640bf3b4bc4f781:0xe79c4bd6394607d3,
FAO,,https://www.google.com/maps/place/FAO/data=!4m2!3m1!1s0x8640bf707435b14d:0x4f4813abc4b5868a,
Wonder Bar,,https://www.google.com/maps/place/Wonder+Bar/data=!4m2!3m1!1s0x8640bf6a0241cfdd:0x50a230527123a0a7,
The Moonshiners Southern Table + Bar,,https://www.google.com/maps/place/The+Moonshiners+Southern+Table+%2B+Bar/data=!4m2!3m1!1s0x8640bf2545715cb3:0xdc725b8264ec0cbe,
The Brass Tap,,https://www.google.com/maps/place/The+Brass+Tap/data=!4m2!3m1!1s0x8640bf00d1e26ae9:0x931c63f3938f5ff8,
Belle Station,,https://www.google.com/maps/place/Belle+Station/data=!4m2!3m1!1s0x8640bf417afefaa9:0x8702d1a1d228b88f,
