Title,Note,URL,Comment
Harry's,,https://www.google.com/maps/place/Harry's/data=!4m2!3m1!1s0x8640bf685685fdd7:0x89b4000b2c7e9b0b,
Forget Me Not Kitchen and Cocktail Lounge,,https://www.google.com/maps/place/Forget+Me+Not+Kitchen+and+Cocktail+Lounge/data=!4m2!3m1!1s0x8640c7d422696cb7:0x61d693197d7ccec6,
Taste Bar + Kitchen,,https://www.google.com/maps/place/Taste+Bar+%2B+Kitchen/data=!4m2!3m1!1s0x8640bffec3710b69:0xb9ff518a37edecbc,
Tout Suite,,https://www.google.com/maps/place/Tout+Suite/data=!4m2!3m1!1s0x8640bed8f266310d:0xf2be062ecea4822f,
The Honey Hole,,https://www.google.com/maps/place/The+Honey+Hole/data=!4m2!3m1!1s0x8640c140ec9c8c67:0x714a097d14f49de4,
Daiq's,,https://www.google.com/maps/place/Daiq's/data=!4m2!3m1!1s0x8640c306573878d7:0x6b8d918a7a45275,
Belle Station,,https://www.google.com/maps/place/Belle+Station/data=!4m2!3m1!1s0x8640bf417afefaa9:0x8702d1a1d228b88f,
Kiss,,https://www.google.com/maps/place/Kiss/data=!4m2!3m1!1s0x8640bf80262dd593:0xb3b7296c545ea349,
Hugo's,,https://www.google.com/maps/place/Hugo's/data=!4m2!3m1!1s0x8640c09950be9c59:0x92e89a01444d0627,
Chapman & Kirby,,https://www.google.com/maps/place/Chapman+%26+Kirby/data=!4m2!3m1!1s0x8640bf1f6147eacd:0xcb4bf53018be6550,
Nomad,,https://www.google.com/maps/place/Nomad/data=!4m2!3m1!1s0x8640c335150c3acd:0x1ddf41be1be0a204,
City Cellars HTX,,https://www.google.com/maps/place/City+Cellars+HTX/data=!4m2!3m1!1s0x8640bf1ba8da5d2b:0xbb80db313904f9ef,
The Savoy,,https://www.google.com/maps/place/The+Savoy/data=!4m2!3m1!1s0x8640bf17379170dd:0x80d857c74c3da4,
Grace's,,https://www.google.com/maps/place/Grace's/data=!4m2!3m1!1s0x8640c0ed92922b71:0x7dd71280857c5f7c,
MAX's Wine Dive,,https://www.google.com/maps/place/MAX's+Wine+Dive/data=!4m2!3m1!1s0x8640c0b34ddc1ad5:0x29eb0b4ffe53f059,
Dish Society,,https://www.google.com/maps/place/Dish+Society/data=!4m2!3m1!1s0x8640c7ca52921afb:0xc82b11ae54be461b,
The Locker Room,,https://www.google.com/maps/place/The+Locker+Room/data=!4m2!3m1!1s0x8640bf7a0d6b9d59:0x1eb2aa0d294d0951,
Bloom & Bee,,https://www.google.com/maps/place/Bloom+%26+Bee/data=!4m2!3m1!1s0x8640c147537a8195:0xf627b0ab89c8d03f,
Phil & Derek's Restaurant,,https://www.google.com/maps/place/Phil+%26+Derek's+Restaurant/data=!4m2!3m1!1s0x8640c0ef375840b1:0x1b69c51718572e79,
The Garden HTX,,https://www.google.com/maps/place/The+Garden+HTX/data=!4m2!3m1!1s0x8640bf6b37d64381:0xf09a92adaa49259f,
Leeland House,,https://www.google.com/maps/place/Leeland+House/data=!4m2!3m1!1s0x8640bf193b36e3d1:0xfbebfea40d901305,
Gotti's,,https://www.google.com/maps/place/Gotti's/data=!4m2!3m1!1s0x8640bf4b18bc8075:0x352739d13aad892,
Bar 2200,,https://www.google.com/maps/place/Bar+2200/data=!4m2!3m1!1s0x8640c08c961961eb:0xb5307666b525506c,
Atomic Bottle,,https://www.google.com/maps/place/Atomic+Bottle/data=!4m2!3m1!1s0x8640c375267b1273:0x4a533891a6c8294d,
A Ma Maniere Eats,,https://www.google.com/maps/place/A+Ma+Maniere+Eats/data=!4m2!3m1!1s0x8640c14e1692e1c9:0xd62d2896ff9513d0,
Homestead,,https://www.google.com/maps/place/Homestead/data=!4m2!3m1!1s0x8640c78d51ea4b2d:0xae7f1fbdfe6b03af,
The Union Kitchen,,https://www.google.com/maps/place/The+Union+Kitchen/data=!4m2!3m1!1s0x8640c7a999cb950d:0xc53b4125c3641d12,
Bosscat Kitchen & Libations,,https://www.google.com/maps/place/Bosscat+Kitchen+%26+Libations/data=!4m2!3m1!1s0x8640c116bc6e1dc3:0xab2cb8b5e6969183,
Grooves of Houston,,https://www.google.com/maps/place/Grooves+of+Houston/data=!4m2!3m1!1s0x8640bf1bba89c5d5:0xe107b4dd6d4f1dbf,
Lucille's,,https://www.google.com/maps/place/Lucille's/data=!4m2!3m1!1s0x8640bf82ef48b6db:0xfd5b518446be8ada,
The Brass Tap,,https://www.google.com/maps/place/The+Brass+Tap/data=!4m2!3m1!1s0x8640bf00d1e26ae9:0x931c63f3938f5ff8,
The Breakfast Klub,,https://www.google.com/maps/place/The+Breakfast+Klub/data=!4m2!3m1!1s0x8640bf6e322243ff:0x91e524d14dc4b5af,
Weights + Measures,,https://www.google.com/maps/place/Weights+%2B+Measures/data=!4m2!3m1!1s0x8640bf134bc2f9d3:0x8ef3f8f72ea525ee,
Daily Gather,,https://www.google.com/maps/place/Daily+Gather/data=!4m2!3m1!1s0x8640c54dfdb44a83:0x8ea1120f5bffb992,
Lost & Found,,https://www.google.com/maps/place/Lost+%26+Found/data=!4m2!3m1!1s0x8640bf974810ecdb:0xd45be6a6295cbc11,
Traveler's Table,,https://www.google.com/maps/place/Traveler's+Table/data=!4m2!3m1!1s0x8640bfe5c3fbc549:0xb81e2792cc19959c,
