Title,Note,URL,Comment
Mr Soysauce Chinese,,https://www.google.com/maps/place/Mr+Soysauce+Chinese/data=!4m2!3m1!1s0x8640bf797bf72655:0x79e19bf60cf3c011,
Swamp City,,https://www.google.com/maps/place/Swamp+City/data=!4m2!3m1!1s0x8640c805dcb4a261:0xe67d93957c3f9c29,
Kim Son,,https://www.google.com/maps/place/Kim+Son/data=!4m2!3m1!1s0x8640dd317851c7f1:0x2ab29abc9bc13af7,
The Rice Box,,https://www.google.com/maps/place/The+Rice+Box/data=!4m2!3m1!1s0x8640c156beb901df:0xe6a31f02ae539762,
Lees Den,,https://www.google.com/maps/place/Lees+Den/data=!4m2!3m1!1s0x8640c1adc0d65cff:0x60bbf465ce813465,
Lotus Seafood,,https://www.google.com/maps/place/Lotus+Seafood/data=!4m2!3m1!1s0x8640dceed9864ac7:0x18847f8fa2715d,
Grimaldi's Pizzeria,,https://www.google.com/maps/place/Grimaldi's+Pizzeria/data=!4m2!3m1!1s0x8640c4b2d75a4b5d:0x7ab39974df41af6e,
Gyu-Kaku Japanese BBQ,,https://www.google.com/maps/place/Gyu-Kaku+Japanese+BBQ/data=!4m2!3m1!1s0x8640bf4035314db9:0xa6a61408ff74f097,
LA Crawfish,,https://www.google.com/maps/place/LA+Crawfish/data=!4m2!3m1!1s0x8640c48bb692337b:0xd2772d98637bc4c2,
Graffiti Raw,,https://www.google.com/maps/place/Graffiti+Raw/data=!4m2!3m1!1s0x8640bf23edb60985:0x43357aa8e4e26f7c,
Tout Suite,,https://www.google.com/maps/place/Tout+Suite/data=!4m2!3m1!1s0x8640bed8f266310d:0xf2be062ecea4822f,
State of Grace,,https://www.google.com/maps/place/State+of+Grace/data=!4m2!3m1!1s0x8640c0e61c934627:0xd65ff2da064aa93c,
Adair Kitchen,,https://www.google.com/maps/place/Adair+Kitchen/data=!4m2!3m1!1s0x8640c1431f378703:0xb913193f7a5975b4,
Zanti Cucina Italiana - River Oaks,,https://www.google.com/maps/place/Zanti+Cucina+Italiana+-+River+Oaks/data=!4m2!3m1!1s0x8640c1642eead59d:0xc88fb4f24a86d055,
Cali,,https://www.google.com/maps/place/Cali/data=!4m2!3m1!1s0x8640c5b16ab3bad1:0x2ec9c007616e391b,
The Wing Boss,,https://www.google.com/maps/place/The+Wing+Boss/data=!4m2!3m1!1s0x8640bf1f2c96bda3:0x571425db697d3c,
Aladdin Mediterranean Grill,,https://www.google.com/maps/place/Aladdin+Mediterranean+Grill/data=!4m2!3m1!1s0x8640c7525a5c98f1:0x5a6885774561e0a3,
Tamashi,,https://www.google.com/maps/place/Tamashi/data=!4m2!3m1!1s0x8640c6a33468331f:0x87162141515fb61f,
Tiger Den,,https://www.google.com/maps/place/Tiger+Den/data=!4m2!3m1!1s0x8640c2cf3a38448d:0x8c50bea41f26ebe6,
Doña Leti’s,,https://www.google.com/maps/place/Do%C3%B1a+Leti%E2%80%99s/data=!4m2!3m1!1s0x8640c7b4c9148749:0xe7225175260ef0da,
The Hot Bagel Shop,,https://www.google.com/maps/place/The+Hot+Bagel+Shop/data=!4m2!3m1!1s0x8640c095f401e521:0x8a18c3f1731a854e,
Monarch,,https://www.google.com/maps/place/Monarch/data=!4m2!3m1!1s0x8640bf81bf49e44d:0x50aa7b87c0ac05f8,
Gao’s Crab,,https://www.google.com/maps/place/Gao%E2%80%99s+Crab/data=!4m2!3m1!1s0x8640c2cfc1b75b81:0x45c93e89133ce815,
Spicy Girl,,https://www.google.com/maps/place/Spicy+Girl/data=!4m2!3m1!1s0x8640bf1f92d005fd:0x45d6d633c2043b04,
Bon KBBQ (Jin Korean BBQ),,https://www.google.com/maps/place/Bon+KBBQ+(Jin+Korean+BBQ)/data=!4m2!3m1!1s0x8640c2b3af1ba531:0x244762a3c43e68ec,
San Dong Noodle House,,https://www.google.com/maps/place/San+Dong+Noodle+House/data=!4m2!3m1!1s0x8640c2ce68aeb389:0x16e25a4685d55e7f,
Myung Dong Kyoja (MDK Noodles),,https://www.google.com/maps/place/Myung+Dong+Kyoja+(MDK+Noodles)/data=!4m2!3m1!1s0x8640c30a993ea871:0x450d6bea6cc55f16,
Golden Dumpling House,,https://www.google.com/maps/place/Golden+Dumpling+House/data=!4m2!3m1!1s0x8640c2ce34458fef:0xb28db79faecba1dc,
Ohn Korean Eatery,,https://www.google.com/maps/place/Ohn+Korean+Eatery/data=!4m2!3m1!1s0x8640c2c53535b8a7:0x256f6ebea48f762b,
Taste Bar + Kitchen - Downtown,,https://www.google.com/maps/place/Taste+Bar+%2B+Kitchen+-+Downtown/data=!4m2!3m1!1s0x8640bf25504231a1:0x54a656586fb8ab7c,
Oishii,,https://www.google.com/maps/place/Oishii/data=!4m2!3m1!1s0x8640c1028be96f37:0xd4ef18733b75bdda,
Doña Leti’s,,https://www.google.com/maps/place/Do%C3%B1a+Leti%E2%80%99s/data=!4m2!3m1!1s0x8640ed2baea3b1d7:0x668b6bd406deeb5d,
Burger Bodega,,https://www.google.com/maps/place/Burger+Bodega/data=!4m2!3m1!1s0x8640c12be0aec60b:0xd464ca8e7529a09a,
Hugo's,,https://www.google.com/maps/place/Hugo's/data=!4m2!3m1!1s0x8640c09950be9c59:0x92e89a01444d0627,
Grace's,,https://www.google.com/maps/place/Grace's/data=!4m2!3m1!1s0x8640c0ed92922b71:0x7dd71280857c5f7c,
MAX's Wine Dive,,https://www.google.com/maps/place/MAX's+Wine+Dive/data=!4m2!3m1!1s0x8640c0b34ddc1ad5:0x29eb0b4ffe53f059,
Bar 2200,,https://www.google.com/maps/place/Bar+2200/data=!4m2!3m1!1s0x8640c08c961961eb:0xb5307666b525506c,
A Ma Maniere Eats,,https://www.google.com/maps/place/A+Ma+Maniere+Eats/data=!4m2!3m1!1s0x8640c14e1692e1c9:0xd62d2896ff9513d0,
Weights + Measures,,https://www.google.com/maps/place/Weights+%2B+Measures/data=!4m2!3m1!1s0x8640bf134bc2f9d3:0x8ef3f8f72ea525ee,
Mapojeong,,https://www.google.com/maps/place/Mapojeong/data=!4m2!3m1!1s0x8640b98d2a324d85:0x44b11d964455683f,
Daily Gather,,https://www.google.com/maps/place/Daily+Gather/data=!4m2!3m1!1s0x8640c54dfdb44a83:0x8ea1120f5bffb992,
Lyric Market,,https://www.google.com/maps/place/Lyric+Market/data=!4m2!3m1!1s0x8640bf6ed3632957:0xdfac2025881cd181,
LaPasha Lounge & Grill,,https://www.google.com/maps/place/LaPasha+Lounge+%26+Grill/data=!4m2!3m1!1s0x8640dd0c93653e6f:0x2de5b6f02b707c9a,
Miami Nightz,,https://www.google.com/maps/place/Miami+Nightz/data=!4m2!3m1!1s0x8640db46e2671d63:0xaa1569b351e6264,
How to Survive on Land & Sea,,https://www.google.com/maps/place/How+to+Survive+on+Land+%26+Sea/data=!4m2!3m1!1s0x8640bffc94401f9f:0xfbcc67d29c7e382b,
Toukei,,https://www.google.com/maps/place/Toukei/data=!4m2!3m1!1s0x8640c3c964be7839:0x6a82fa0daff844d1,
Kin Dee,,https://www.google.com/maps/place/Kin+Dee/data=!4m2!3m1!1s0x8640c722360a8e39:0x656fb186b620696d,
Loro,,https://www.google.com/maps/place/Loro/data=!4m2!3m1!1s0x8640c7964f5c7c8f:0x539c1f4e3adf4477,
Coppa Osteria,,https://www.google.com/maps/place/Coppa+Osteria/data=!4m2!3m1!1s0x8640c05dffc2c833:0x138caa54f7646ecb,
The Savoy,,https://www.google.com/maps/place/The+Savoy/data=!4m2!3m1!1s0x8640bf17379170dd:0x80d857c74c3da4,
Blue Sushi Sake Grill,,https://www.google.com/maps/place/Blue+Sushi+Sake+Grill/data=!4m2!3m1!1s0x8640c76d05389445:0x24ab378e17ebeb97,
BORI,,https://www.google.com/maps/place/BORI/data=!4m2!3m1!1s0x8640c4e9d8f00001:0x4f961360a1df25b2,
Trendy Dumpling,,https://www.google.com/maps/place/Trendy+Dumpling/data=!4m2!3m1!1s0x8640c1dc97b905ed:0x9e7ab91482679e33,
Wanna Bao,,https://www.google.com/maps/place/Wanna+Bao/data=!4m2!3m1!1s0x8640bf2a338ad7e5:0xcc7edeb1a514ffd5,
Bloom & Bee,,https://www.google.com/maps/place/Bloom+%26+Bee/data=!4m2!3m1!1s0x8640c147537a8195:0xf627b0ab89c8d03f,
Popfancy Dessert Bar,,https://www.google.com/maps/place/Popfancy+Dessert+Bar/data=!4m2!3m1!1s0x8640c3c726f4aa13:0x3344f20cfa7e2c7a,
