Title,Note,URL,Comment
Playground,Fridays,https://www.google.com/maps/place/Playground/data=!4m2!3m1!1s0x8640bf665ccc44c3:0x7a44c1d62f8eb38d,
Kamp,Thursday and Saturday,https://www.google.com/maps/place/Kamp/data=!4m2!3m1!1s0x8640c347ed895bcb:0x8b6052e85be5e34e,
Clutch,Fridays,https://www.google.com/maps/place/Clutch/data=!4m2!3m1!1s0x8640c0cab5b916c9:0xf3da4cfb13cb48bc,
Forget Me Not Kitchen and Cocktail Lounge,,https://www.google.com/maps/place/Forget+Me+Not+Kitchen+and+Cocktail+Lounge/data=!4m2!3m1!1s0x8640c7d422696cb7:0x61d693197d7ccec6,
Lounge 2727,,https://www.google.com/maps/place/Lounge+2727/data=!4m2!3m1!1s0x8640c337acdd6f07:0xa65b7f3d33239eca,
Electric FeelGood,,https://www.google.com/maps/place/Electric+FeelGood/data=!4m2!3m1!1s0x8640bfe5a5cce23b:0x5a83f3149f3c74ca,
Cherry,,https://www.google.com/maps/place/Cherry/data=!4m2!3m1!1s0x8640bf01cde5788b:0x6fa41aea71cfdecf,
Paradise Palace,,https://www.google.com/maps/place/Paradise+Palace/data=!4m2!3m1!1s0x8640bf1f0af8d697:0x20ba921f8766855c,
Velvet Room,,https://www.google.com/maps/place/Velvet+Room/data=!4m2!3m1!1s0x8640bf5f849a9cc7:0x21a42a987de5babe,
Cloud 21,,https://www.google.com/maps/place/Cloud+21/data=!4m2!3m1!1s0x8640c55e18797ef7:0x361a57a16e253659,
Cloud 9,,https://www.google.com/maps/place/Cloud+9/data=!4m2!3m1!1s0x8640c2d78b3b996f:0x28dde71708ff868,
Dreams Bar And Lounge,,https://www.google.com/maps/place/Dreams+Bar+And+Lounge/data=!4m2!3m1!1s0x8640bfbfc0e0227b:0xbf43c89348904d37,
The Perfect 10,,https://www.google.com/maps/place/The+Perfect+10/data=!4m2!3m1!1s0x8640c3b2dc4a7819:0x1dfdaf0ed7887785,
Finish Your Champagne,,https://www.google.com/maps/place/Finish+Your+Champagne/data=!4m2!3m1!1s0x8640bf9b26cdcfa1:0xdb4b6bddd95aefc4,
The Local Seat,,https://www.google.com/maps/place/The+Local+Seat/data=!4m2!3m1!1s0x8640be412ae2a7e5:0x748674985ad644e5,
Area 29,,https://www.google.com/maps/place/Area+29/data=!4m2!3m1!1s0x8640c3c79b7d6821:0x4196298d42615f17,
HandleBar,,https://www.google.com/maps/place/HandleBar/data=!4m2!3m1!1s0x8640c0b54f8ad79d:0x1a928977d85183da,
Lincoln Bar,,https://www.google.com/maps/place/Lincoln+Bar/data=!4m2!3m1!1s0x8640c0b5321d4141:0x4f9857e471eb3c03,
Bottled Blonde,,https://www.google.com/maps/place/Bottled+Blonde/data=!4m2!3m1!1s0x8640c1732d7e8f9f:0x1605af9739148951,
Chapman & Kirby,,https://www.google.com/maps/place/Chapman+%26+Kirby/data=!4m2!3m1!1s0x8640bf1f6147eacd:0xcb4bf53018be6550,
Mr X Bar and Lounge,,https://www.google.com/maps/place/Mr+X+Bar+and+Lounge/data=!4m2!3m1!1s0x8640c329e6289ce5:0x43f7c6f013d14870,
Kapri Ultra Lounge,,https://www.google.com/maps/place/Kapri+Ultra+Lounge/data=!4m2!3m1!1s0x8640c3660e43fcfb:0x68f87ad436182fb7,
Atomic Bottle,,https://www.google.com/maps/place/Atomic+Bottle/data=!4m2!3m1!1s0x8640c375267b1273:0x4a533891a6c8294d,
A’dor,,https://www.google.com/maps/place/A%E2%80%99dor/data=!4m2!3m1!1s0x8640bf64cea9234f:0xddd7c0d8ebab24af,
Uptown Lounge,,https://www.google.com/maps/place/Uptown+Lounge/data=!4m2!3m1!1s0x8640c3d7bf535587:0x38c0c52d76766c69,
Standard,,https://www.google.com/maps/place/Standard/data=!4m2!3m1!1s0x8640c0caaa8baa81:0xabacc81339580a30,
Shot Bar,,https://www.google.com/maps/place/Shot+Bar/data=!4m2!3m1!1s0x8640bf41f0fce4b1:0xe9ebebd31698bf76,
Lux Lounge,,https://www.google.com/maps/place/Lux+Lounge/data=!4m2!3m1!1s0x8640cb226780f411:0xc1df9040ac48bdf2,
Nomad,,https://www.google.com/maps/place/Nomad/data=!4m2!3m1!1s0x8640c335150c3acd:0x1ddf41be1be0a204,
Social House Lounge,,https://www.google.com/maps/place/Social+House+Lounge/data=!4m2!3m1!1s0x8640c11b59499aed:0xa15fd0d8bb0dc831,
Daisy Dukes,,https://www.google.com/maps/place/Daisy+Dukes/data=!4m2!3m1!1s0x8640bf64fc1e1f0d:0xf056825f33a3cb3a,
