Title,Note,URL,Comment
Blue Tile Coffee,,https://www.google.com/maps/place/Blue+Tile+Coffee/data=!4m2!3m1!1s0x8640c1e0f1a1a3e5:0xe8e036dc1e3a7740,
Fifth Vessel Coffee Co.,,https://www.google.com/maps/place/Fifth+Vessel+Coffee+Co./data=!4m2!3m1!1s0x8640bf6bf8775d0f:0xb02a0c763b84fe4e,
The Coffee House at West End,,https://www.google.com/maps/place/The+Coffee+House+at+West+End/data=!4m2!3m1!1s0x8640c1b2971f5999:0x419ec54d5d4638f4,
Earthcraft Juicery,,https://www.google.com/maps/place/Earthcraft+Juicery/data=!4m2!3m1!1s0x8640c1168bc7c767:0x3b5245cf0b2ea25,
Flower Child,,https://www.google.com/maps/place/Flower+Child/data=!4m2!3m1!1s0x8640c14baaaa35d3:0xe5c9a7d295bb542e,
Showboat Drive-In,,https://www.google.com/maps/place/Showboat+Drive-In/data=!4m2!3m1!1s0x8646d4fe02b498f1:0x9e1f99b37aa17568,
Cockrell Butterfly Center,,https://www.google.com/maps/place/Cockrell+Butterfly+Center/data=!4m2!3m1!1s0x8640bf3437cba09b:0xa67e5e48e9f88620,
Space Center Houston,,https://www.google.com/maps/place/Space+Center+Houston/data=!4m2!3m1!1s0x86409d00c061992d:0x13f0aac92fd5f916,
Houston Zoo,,https://www.google.com/maps/place/Houston+Zoo/data=!4m2!3m1!1s0x8640bf8610513213:0x61f408cc441069f8,
Houston Museum of Natural Science,,https://www.google.com/maps/place/Houston+Museum+of+Natural+Science/data=!4m2!3m1!1s0x8640bf864e2e31ab:0xbbe33042ee1dd97a,
Moody Gardens,,https://www.google.com/maps/place/Moody+Gardens/data=!4m2!3m1!1s0x863f9c57cfd58e63:0x2f45758864d12e2,
Galveston Island Historic Pleasure Pier,,https://www.google.com/maps/place/Galveston+Island+Historic+Pleasure+Pier/data=!4m2!3m1!1s0x863f9e600e04d93d:0x61584f6f5b09b36d,
BEAR CREEK ROLLER RINK,,https://www.google.com/maps/place/BEAR+CREEK+ROLLER+RINK/data=!4m2!3m1!1s0x8640d0aa92441f6f:0xbd965b935a5add9b,
Modern Ink,,https://www.google.com/maps/place/Modern+Ink/data=!4m2!3m1!1s0x8640c166538831fb:0x7badfbe79d33e0dc,
Club 3710,,https://www.google.com/maps/place/Club+3710/data=!4m2!3m1!1s0x8640bf346bf7f3fd:0x800990fbea7c96ec,
Cafe 4212,,https://www.google.com/maps/place/Cafe+4212/data=!4m2!3m1!1s0x8640bf746422e3b7:0x975721844756b2e9,
R24 Rooftop Lounge,,https://www.google.com/maps/place/R24+Rooftop+Lounge/data=!4m2!3m1!1s0x8640bf110f07e53b:0xc217ccd8d6834ae1,
Houstonian Trellis Spa,,https://www.google.com/maps/place/Houstonian+Trellis+Spa/data=!4m2!3m1!1s0x8640c14ac3e9f1df:0xfee0c8fad0e7ceac,
Smashed Clay Co.,,https://www.google.com/maps/place/Smashed+Clay+Co./data=!4m2!3m1!1s0x8640c511afe4cb01:0x4e108c9d33eca4e2,
Discovery Green,,https://www.google.com/maps/place/Discovery+Green/data=!4m2!3m1!1s0x8640bf2253364a25:0x8ed9f565fcbf923,
Pinstripes,,https://www.google.com/maps/place/Pinstripes/data=!4m2!3m1!1s0x8640c1b37a720d09:0x5a38728c2e54a89e,
Heights Bier Garten,,https://www.google.com/maps/place/Heights+Bier+Garten/data=!4m2!3m1!1s0x8640c7a95815190d:0xe6d2f3e2911f3433,
Hamburger Mary's,,https://www.google.com/maps/place/Hamburger+Mary's/data=!4m2!3m1!1s0x8640bf6092122563:0xcff2df3bbff1f0f1,
Bloom & Bee,,https://www.google.com/maps/place/Bloom+%26+Bee/data=!4m2!3m1!1s0x8640c147537a8195:0xf627b0ab89c8d03f,
Popfancy Dessert Bar,,https://www.google.com/maps/place/Popfancy+Dessert+Bar/data=!4m2!3m1!1s0x8640c3c726f4aa13:0x3344f20cfa7e2c7a,
Parkerz,,https://www.google.com/maps/place/Parkerz/data=!4m2!3m1!1s0x8640dd8fdbbd88ef:0xa50cbd149bdc1b68,
Bungalow,,https://www.google.com/maps/place/Bungalow/data=!4m2!3m1!1s0x8640bfe1d8062c53:0xf7ee9544b89e52,
Grinder's Coffee Bar,,https://www.google.com/maps/place/Grinder's+Coffee+Bar/data=!4m2!3m1!1s0x8640c1f4e810494d:0x29d7819571f4462c,
Puttery,,https://www.google.com/maps/place/Puttery/data=!4m2!3m1!1s0x8640bf87e5e9f85d:0x93ce76edb0acb01a,
FAO,,https://www.google.com/maps/place/FAO/data=!4m2!3m1!1s0x8640bf707435b14d:0x4f4813abc4b5868a,
Wild,,https://www.google.com/maps/place/Wild/data=!4m2!3m1!1s0x8640c794174f2bb1:0x459b59294535b4b1,
Del Mar Lanes,,https://www.google.com/maps/place/Del+Mar+Lanes/data=!4m2!3m1!1s0x8640c66024f3371d:0xbf4abe3d9e9bd85c,
The Paleta Bar,,https://www.google.com/maps/place/The+Paleta+Bar/data=!4m2!3m1!1s0x8640c57b1bf45693:0x5276ad2d3d970462,
13 celsius,,https://www.google.com/maps/place/13+celsius/data=!4m2!3m1!1s0x8640bf6cda1b0c55:0x4d017bc39eba1502,
Bayou Bend Collection and Gardens,,https://www.google.com/maps/place/Bayou+Bend+Collection+and+Gardens/data=!4m2!3m1!1s0x8640c0cf6ca840ed:0xd2198dff7f27fd99,
Spotlight Karaoke,,https://www.google.com/maps/place/Spotlight+Karaoke/data=!4m2!3m1!1s0x8640c3dbafdfb84d:0x42771401c095a709,
The Cove at BearX,,https://www.google.com/maps/place/The+Cove+at+BearX/data=!4m2!3m1!1s0x864684a707c43085:0x65dacfe92df83b7a,
Clarkwood,,https://www.google.com/maps/place/Clarkwood/data=!4m2!3m1!1s0x8640c1b71470124d:0x57942bd211c45a14,
Azteca Farmers Market,,https://www.google.com/maps/place/Azteca+Farmers+Market/data=!4m2!3m1!1s0x8640bb77a79a22db:0x554c60d99a7a09e,
